  142 T=     0. E= -.33252742E+03 F= -.33253001E+03 E0= -.33244634E+03  EK= 0.25891E-02 SP= 0.00E+00 SK= 0.00E+00
  143 T=     0. E= -.33252741E+03 F= -.33252872E+03 E0= -.33244499E+03  EK= 0.13145E-02 SP= 0.00E+00 SK= 0.00E+00
  144 T=     0. E= -.33252739E+03 F= -.33252838E+03 E0= -.33244470E+03  EK= 0.99628E-03 SP= 0.00E+00 SK= 0.00E+00
  145 T=     0. E= -.33252738E+03 F= -.33252930E+03 E0= -.33244576E+03  EK= 0.19267E-02 SP= 0.00E+00 SK= 0.00E+00
  146 T=     1. E= -.33252739E+03 F= -.33253159E+03 E0= -.33244829E+03  EK= 0.42019E-02 SP= 0.00E+00 SK= 0.00E+00
  147 T=     1. E= -.33252742E+03 F= -.33253501E+03 E0= -.33245202E+03  EK= 0.75879E-02 SP= 0.00E+00 SK= 0.00E+00
  148 T=     1. E= -.33252745E+03 F= -.33253904E+03 E0= -.33245644E+03  EK= 0.11593E-01 SP= 0.00E+00 SK= 0.00E+00
  149 T=     2. E= -.33252746E+03 F= -.33254317E+03 E0= -.33246100E+03  EK= 0.15708E-01 SP= 0.00E+00 SK= 0.00E+00
  150 T=     2. E= -.33252745E+03 F= -.33254712E+03 E0= -.33246541E+03  EK= 0.19662E-01 SP= 0.00E+00 SK= 0.00E+00
  151 T=     3. E= -.33252743E+03 F= -.33255092E+03 E0= -.33246968E+03  EK= 0.23494E-01 SP= 0.00E+00 SK= 0.00E+00
  152 T=     3. E= -.33252741E+03 F= -.33255481E+03 E0= -.33247401E+03  EK= 0.27401E-01 SP= 0.00E+00 SK= 0.00E+00
  153 T=     4. E= -.33252741E+03 F= -.33255890E+03 E0= -.33247849E+03  EK= 0.31483E-01 SP= 0.00E+00 SK= 0.00E+00
  154 T=     4. E= -.33252743E+03 F= -.33256299E+03 E0= -.33248292E+03  EK= 0.35557E-01 SP= 0.00E+00 SK= 0.00E+00
  155 T=     5. E= -.33252745E+03 F= -.33256663E+03 E0= -.33248684E+03  EK= 0.39178E-01 SP= 0.00E+00 SK= 0.00E+00
  156 T=     5. E= -.33252745E+03 F= -.33256931E+03 E0= -.33248975E+03  EK= 0.41856E-01 SP= 0.00E+00 SK= 0.00E+00
